Date	Province_CN	City_CN	From_Province	From_City	To_Province	To_City	Index
2020-01-07	广西壮族自治区	柳州市	Hubei	Wuhan	Guangxi	Liuzhou	0.13
2020-01-07	山东省	菏泽市	Hubei	Wuhan	Shandong	Heze	0.13
2020-01-07	江西省	抚州市	Hubei	Wuhan	Jiangxi	Fuzhou	0.13
2020-01-07	湖南省	湘潭市	Hubei	Wuhan	Hunan	Xiangtan	0.13
2020-01-07	河南省	开封市	Hubei	Wuhan	Henan	Kaifeng	0.13
2020-01-07	江西省	吉安市	Hubei	Wuhan	Jiangxi	Ji'an	0.13
2020-01-07	广东省	珠海市	Hubei	Wuhan	Guangdong	Zhuhai	0.13
2020-01-07	河南省	许昌市	Hubei	Wuhan	Henan	Xuchang	0.13
2020-01-07	广西壮族自治区	桂林市	Hubei	Wuhan	Guangxi	Guilin	0.12
2020-01-07	辽宁省	沈阳市	Hubei	Wuhan	Liaoning	Shenyang	0.12
2020-01-07	安徽省	芜湖市	Hubei	Wuhan	Anhui	Wuhu	0.12
2020-01-07	湖南省	怀化市	Hubei	Wuhan	Hunan	Huaihua	0.12
2020-01-07	浙江省	台州市	Hubei	Wuhan	Zhejiang	Taizhou	0.12
2020-01-07	江苏省	扬州市	Hubei	Wuhan	Jiangsu	Yangzhou	0.12
2020-01-07	贵州省	黔东南苗族侗族自治州	Hubei	Wuhan	Guizhousheng	Qiandongnanmiaozudongzuzizhizhou	0.12
2020-01-07	浙江省	嘉兴市	Hubei	Wuhan	Zhejiang	Jiaxing	0.12
2020-01-07	湖南省	娄底市	Hubei	Wuhan	Hunan	Loudi	0.12
2020-01-07	河北省	邢台市	Hubei	Wuhan	Hebei	Xingtai	0.11
2020-01-07	贵州省	铜仁市	Hubei	Wuhan	Guizhou	Tongren	0.11
2020-01-08	湖北省	黄冈市	Hubei	Wuhan	Hubei	Huanggang	10.77
2020-01-08	湖北省	孝感市	Hubei	Wuhan	Hubei	Xiaogan	10.41
2020-01-08	湖北省	荆州市	Hubei	Wuhan	Hubei	Jingzhou	5.95
2020-01-08	湖北省	咸宁市	Hubei	Wuhan	Hubei	Xianning	4.95
2020-01-08	湖北省	襄阳市	Hubei	Wuhan	Hubei	Xiangyang	4.32
2020-01-08	湖北省	鄂州市	Hubei	Wuhan	Hubei	Ezhou	4.06
2020-01-08	湖北省	黄石市	Hubei	Wuhan	Hubei	Huangshi	3.57
2020-01-08	湖北省	宜昌市	Hubei	Wuhan	Hubei	Yichang	2.85
2020-01-08	湖北省	荆门市	Hubei	Wuhan	Hubei	Jingmen	2.76
2020-01-08	湖北省	随州市	Hubei	Wuhan	Hubei	Suizhou	2.59
2020-01-08	湖北省	仙桃市	Hubei	Wuhan	Hubei	Xiantao	2.29
2020-01-08	湖北省	恩施土家族苗族自治州	Hubei	Wuhan	Hubeisheng	Enshitujiazumiaozuzizhizhou	2.11
2020-01-08	湖北省	十堰市	Hubei	Wuhan	Hubei	Shiyan	1.87
